model_id,contrast,metric,stratum,n_items,n_pairs,mean_difference,ci95_lower,ci95_upper
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,accuracy,hard|accurate,7,7,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,accuracy,hard|malfunctioning_always_fail,8,8,-0.125,-0.375,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,non_answer_rate,easy|accurate,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,non_answer_rate,easy|malfunctioning_always_fail,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,non_answer_rate,hard|accurate,10,10,-0.2,-0.5,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,non_answer_rate,hard|malfunctioning_always_fail,10,10,0.1,0.0,0.3
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m1,easy__malfunctioning_always_fail__hostile,10,10,-1.749999985350211,-4.012812369001242,0.36281250400521836
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m1,easy__malfunctioning_always_fail__neutral,10,10,-0.8374999762189759,-3.1124998599758156,1.3265625452354484
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m1,hard__malfunctioning_always_fail__hostile,7,7,-0.2321428401128967,-2.1254464605023533,1.5183036046368688
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m1,hard__malfunctioning_always_fail__neutral,8,8,-1.1406250525024149,-3.876172245477204,1.51562529190732
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m2,easy__malfunctioning_always_fail__hostile,8,8,0.062499999999999986,-0.012499999999999997,0.12499999999999997
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m2,easy__malfunctioning_always_fail__neutral,6,6,0.033333333333333326,0.0,0.09999999999999998
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m2,hard__malfunctioning_always_fail__hostile,2,2,-0.04999999999999999,-0.09999999999999998,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,m2,hard__malfunctioning_always_fail__neutral,2,2,0.2,0.0,0.4
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,accuracy,easy__malfunctioning_always_fail__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,accuracy,easy__malfunctioning_always_fail__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,accuracy,hard__malfunctioning_always_fail__hostile,7,7,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,accuracy,hard__malfunctioning_always_fail__neutral,8,8,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,non_answer_rate,easy__malfunctioning_always_fail__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,non_answer_rate,easy__malfunctioning_always_fail__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,non_answer_rate,hard__malfunctioning_always_fail__hostile,10,10,0.1,0.0,0.3
Qwen/Qwen2.5-3B-Instruct,recovery_minus_measured,non_answer_rate,hard__malfunctioning_always_fail__neutral,10,10,0.1,0.0,0.3
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m1,easy__accurate__hostile,9,9,-2.1250000397363076,-3.2638889686927457,-0.8888889405462419
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m1,easy__accurate__neutral,9,9,4.041666666221214,1.9857639011409527,6.27812508893923
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m1,hard__accurate__hostile,6,6,0.4166667262712653,-0.937500158945698,1.8958337108292487
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m1,hard__accurate__neutral,7,7,1.7142856965629107,-0.08928569835241175,3.2678570921760683
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m2,easy__accurate__hostile,4,4,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m2,easy__accurate__neutral,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m2,hard__accurate__hostile,2,2,0.09999999999999998,0.0,0.19999999999999996
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,m2,hard__accurate__neutral,2,2,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,accuracy,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,accuracy,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,accuracy,hard__accurate__hostile,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,accuracy,hard__accurate__neutral,7,7,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,non_answer_rate,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,non_answer_rate,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,non_answer_rate,hard__accurate__hostile,10,10,0.3,0.0,0.6
Qwen/Qwen2.5-3B-Instruct,onset_minus_measured,non_answer_rate,hard__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m1,easy__accurate__hostile,9,9,2.0138889286251964,0.3468751827875372,3.8482638733252212
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m1,easy__accurate__neutral,9,9,-0.5833333024970173,-2.2503472088681122,0.9447917108570908
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m1,hard__accurate__hostile,6,6,3.624999941792384,-0.0854166065653259,8.124999646563234
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m1,hard__accurate__neutral,7,7,2.6607141819303104,0.8392854247641546,4.660714284560643
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m2,easy__accurate__hostile,3,3,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m2,easy__accurate__neutral,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m2,hard__accurate__hostile,2,2,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,m2,hard__accurate__neutral,2,2,0.050000000000000044,0.0,0.10000000000000009
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,accuracy,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,accuracy,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,accuracy,hard__accurate__hostile,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,accuracy,hard__accurate__neutral,7,7,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,non_answer_rate,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,non_answer_rate,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,non_answer_rate,hard__accurate__hostile,10,10,-0.2,-0.5,0.0
Qwen/Qwen2.5-3B-Instruct,washout_minus_onset,non_answer_rate,hard__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m1,easy|hostile,1,1,-1.1875,,
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m1,easy|neutral,4,4,-1.796875,-4.015625,0.0625
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m1,hard|hostile,3,3,-10.916666666710322,-31.250000000130967,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m1,hard|neutral,7,7,-6.14285688428624,-16.107142649661796,-0.3749998033045529
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m2,easy|hostile,9,9,0.05555555555555555,0.0,0.14444444444444446
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m2,easy|neutral,9,9,0.011111111111111108,0.0,0.033333333333333326
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m2,hard|hostile,5,5,0.040000000000000015,0.0,0.08000000000000003
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,m2,hard|neutral,5,5,0.019999999999999997,0.0,0.059999999999999984
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,accuracy,easy|hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,accuracy,easy|neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,accuracy,hard|hostile,7,7,-0.14285714285714285,-0.42857142857142855,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,accuracy,hard|neutral,9,9,-0.2222222222222222,-0.5555555555555556,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,easy|hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,easy|neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,hard|hostile,10,10,-0.1,-0.3,0.0
Qwen/Qwen2.5-7B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,hard|neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m1,easy|accurate,1,1,-1.0,,
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m1,easy|malfunctioning_always_fail,4,4,0.484375,-0.703125,1.5625
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m1,hard|accurate,3,3,-0.3541666666666667,-0.9375,0.5
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m1,hard|malfunctioning_always_fail,4,4,0.9531248807579971,-0.71875,2.624999761515994
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m2,easy|accurate,9,9,-0.011111111111111108,-0.033333333333333326,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m2,easy|malfunctioning_always_fail,9,9,0.03333333333333334,0.0,0.10000000000000002
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m2,hard|accurate,5,5,-0.040000000000000015,-0.12000000000000004,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,m2,hard|malfunctioning_always_fail,5,5,-0.019999999999999997,-0.11999999999999997,0.059999999999999984
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,accuracy,easy|accurate,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,accuracy,easy|malfunctioning_always_fail,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,accuracy,hard|accurate,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,accuracy,hard|malfunctioning_always_fail,7,7,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,non_answer_rate,easy|accurate,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,non_answer_rate,easy|malfunctioning_always_fail,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,non_answer_rate,hard|accurate,10,10,0.2,-0.2,0.6
Qwen/Qwen2.5-7B-Instruct,tone_hostile_minus_neutral,non_answer_rate,hard|malfunctioning_always_fail,10,10,0.1,-0.2,0.4
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m1,easy__malfunctioning_always_fail__hostile,5,5,-4.587500095365613,-9.077812786096837,-1.6
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m1,easy__malfunctioning_always_fail__neutral,5,5,-3.8500000238418566,-6.3750000238418565,-1.6250000238418565
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m1,hard__malfunctioning_always_fail__hostile,5,5,-3.225000006724838,-9.60000002281439,3.1500000093647147
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m1,hard__malfunctioning_always_fail__neutral,7,7,-5.169643069303979,-14.866964515690569,2.0535708829329815
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m2,easy__malfunctioning_always_fail__hostile,8,8,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m2,easy__malfunctioning_always_fail__neutral,9,9,0.022222222222222216,0.0,0.06666666666666665
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m2,hard__malfunctioning_always_fail__hostile,4,4,-0.025000000000000022,-0.22500000000000003,0.14999999999999997
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,m2,hard__malfunctioning_always_fail__neutral,5,5,0.1,0.019999999999999997,0.2
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,accuracy,easy__malfunctioning_always_fail__hostile,10,10,-0.1,-0.3,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,accuracy,easy__malfunctioning_always_fail__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,accuracy,hard__malfunctioning_always_fail__hostile,7,7,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,accuracy,hard__malfunctioning_always_fail__neutral,9,9,-0.1111111111111111,-0.3333333333333333,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,non_answer_rate,easy__malfunctioning_always_fail__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,non_answer_rate,easy__malfunctioning_always_fail__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,non_answer_rate,hard__malfunctioning_always_fail__hostile,10,10,0.0,-0.3,0.3
Qwen/Qwen2.5-7B-Instruct,recovery_minus_measured,non_answer_rate,hard__malfunctioning_always_fail__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m1,easy__accurate__hostile,2,2,-5.15625,-7.75,-2.5625
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m1,easy__accurate__neutral,5,5,-5.762499952315602,-9.087499904631205,-2.4375
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m1,hard__accurate__hostile,2,2,-4.124999999999773,-5.624999999999545,-2.625
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m1,hard__accurate__neutral,8,8,-3.320312380554152,-5.039257792317331,-1.1091796101499585
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m2,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m2,easy__accurate__neutral,9,9,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m2,hard__accurate__hostile,6,6,0.03333333333333335,-0.04999999999999999,0.15000000000000002
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,m2,hard__accurate__neutral,4,4,0.024999999999999994,0.0,0.07499999999999998
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,accuracy,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,accuracy,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,accuracy,hard__accurate__hostile,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,accuracy,hard__accurate__neutral,9,9,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,non_answer_rate,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,non_answer_rate,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,non_answer_rate,hard__accurate__hostile,10,10,0.1,0.0,0.3
Qwen/Qwen2.5-7B-Instruct,onset_minus_measured,non_answer_rate,hard__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m1,easy__accurate__hostile,5,5,4.0875,2.9,5.228124999999983
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m1,easy__accurate__neutral,10,10,4.262499988078729,2.1,6.737812442480509
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m1,hard__accurate__hostile,4,4,1.6249999999998863,-0.1875,3.874999999999659
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m1,hard__accurate__neutral,8,8,3.007812513920845,1.6636719349364133,4.4695312484146354
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m2,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m2,easy__accurate__neutral,9,9,-0.011111111111111108,-0.033333333333333326,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m2,hard__accurate__hostile,5,5,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,m2,hard__accurate__neutral,4,4,-0.024999999999999994,-0.07499999999999998,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,accuracy,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,accuracy,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,accuracy,hard__accurate__hostile,6,6,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,accuracy,hard__accurate__neutral,9,9,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,non_answer_rate,easy__accurate__hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,non_answer_rate,easy__accurate__neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,non_answer_rate,hard__accurate__hostile,10,10,-0.1,-0.3,0.0
Qwen/Qwen2.5-7B-Instruct,washout_minus_onset,non_answer_rate,hard__accurate__neutral,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m1,easy|hostile,10,10,0.11562495665275492,-0.4937499443223351,0.7907032054186852
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m1,easy|neutral,10,10,-0.7062501191307092,-1.1187499561819276,-0.31250027201938796
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m1,hard|hostile,8,8,-0.47265624345163815,-7.347656010417268,5.4804686453717295
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m1,hard|neutral,8,8,-3.8906251042863005,-9.63320330727638,0.07812496881524567
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m2,easy|hostile,8,8,-0.012500000000000011,-0.10000000000000002,0.04999999999999999
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m2,easy|neutral,9,9,0.08888888888888888,0.011111111111111108,0.17777777777777778
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m2,hard|hostile,3,3,0.13333333333333333,0.0,0.30000000000000004
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,m2,hard|neutral,2,2,0.04999999999999999,0.0,0.09999999999999998
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,accuracy,easy|hostile,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,accuracy,easy|neutral,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,accuracy,hard|hostile,8,8,0.0,-0.375,0.375
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,accuracy,hard|neutral,8,8,-0.25,-0.625,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,non_answer_rate,easy|hostile,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,non_answer_rate,easy|neutral,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,non_answer_rate,hard|hostile,10,10,-0.1,-0.3,0.0
google/gemma-2-2b-it,validity_malfunctioning_minus_accurate,non_answer_rate,hard|neutral,10,10,-0.1,-0.3,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,m1,easy|accurate,10,10,1.2406250353407813,-1.156328201879078,5.103281217900075
google/gemma-2-2b-it,tone_hostile_minus_neutral,m1,easy|malfunctioning_always_fail,10,10,2.0625001111242454,-0.01265631289308657,5.662656359633256
google/gemma-2-2b-it,tone_hostile_minus_neutral,m1,hard|accurate,7,7,-4.049107203509526,-10.34999999169834,1.2500000373027953
google/gemma-2-2b-it,tone_hostile_minus_neutral,m1,hard|malfunctioning_always_fail,8,8,-1.5468748713392415,-5.874999820691301,1.3048829364732217
google/gemma-2-2b-it,tone_hostile_minus_neutral,m2,easy|accurate,9,9,0.05555555555555555,0.0,0.14444444444444446
google/gemma-2-2b-it,tone_hostile_minus_neutral,m2,easy|malfunctioning_always_fail,7,7,-0.05714285714285715,-0.14285714285714288,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,m2,hard|accurate,3,3,-0.10000000000000002,-0.20000000000000007,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,m2,hard|malfunctioning_always_fail,1,1,0.0,,
google/gemma-2-2b-it,tone_hostile_minus_neutral,accuracy,easy|accurate,10,10,0.1,0.0,0.3
google/gemma-2-2b-it,tone_hostile_minus_neutral,accuracy,easy|malfunctioning_always_fail,10,10,0.1,0.0,0.3
google/gemma-2-2b-it,tone_hostile_minus_neutral,accuracy,hard|accurate,7,7,-0.2857142857142857,-0.5714285714285714,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,accuracy,hard|malfunctioning_always_fail,8,8,-0.125,-0.375,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,non_answer_rate,easy|accurate,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,non_answer_rate,easy|malfunctioning_always_fail,10,10,0.0,0.0,0.0
google/gemma-2-2b-it,tone_hostile_minus_neutral,non_answer_rate,hard|accurate,10,10,0.0,-0.3,0.3
google/gemma-2-2b-it,tone_hostile_minus_neutral,non_answer_rate,hard|malfunctioning_always_fail,10,10,0.0,-0.3,0.3
google/gemma-2-2b-it,recovery_minus_measured,m1,easy__malfunctioning_always_fail__hostile,10,10,-0.10312504266621544,-0.3968750260141678,0.20937494941259502
google/gemma-2-2b-it,recovery_minus_measured,m1,easy__malfunctioning_always_fail__neutral,9,9,-1.6631943807102896,-5.4623264851769715,0.45859398951328595
google/gemma-2-2b-it,recovery_minus_measured,m1,hard__malfunctioning_always_fail__hostile,8,8,-0.6640625531290425,-1.9380858454536791,0.33593726059189066
google/gemma-2-2b-it,recovery_minus_measured,m1,hard__malfunctioning_always_fail__neutral,8,8,0.2812500610089046,-0.539062406447556,1.1642578498076535
google/gemma-2-2b-it,recovery_minus_measured,m2,easy__malfunctioning_always_fail__hostile,5,5,0.0,0.0,0.0
google/gemma-2-2b-it,recovery_minus_measured,m2,easy__malfunctioning_always_fail__neutral,7,7,0.0,-0.11428571428571431,0.08571428571428574
