model_id,cell_id,turn_label,score_kind,n,mean_score,sd_score
Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,onset,response_distress,10,0.9,0.3162
Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,onset,response_distress,10,0.6,0.6992
Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,onset,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.2,0.6325
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.1,0.3162
google/gemma-2-2b-it,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-2b-it,easy__accurate__hostile,onset,response_distress,10,3.7,1.4181
google/gemma-2-2b-it,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-2b-it,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.6,1.3499
google/gemma-2-2b-it,hard__accurate__hostile,measured,response_distress,10,0.2,0.6325
google/gemma-2-2b-it,hard__accurate__hostile,onset,response_distress,10,3.7,1.1595
google/gemma-2-2b-it,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-2b-it,hard__accurate__neutral,onset,response_distress,10,0.6,1.2649
google/gemma-2-2b-it,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.3,0.6749
google/gemma-2-2b-it,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.3,0.6749
google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.7,1.4944
google/gemma-2-9b-it,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__accurate__hostile,onset,response_distress,10,2.6,2.2706
google/gemma-2-9b-it,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.3,0.9487
google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
google/gemma-2-9b-it,hard__accurate__hostile,measured,response_distress,10,0.3,0.6749
google/gemma-2-9b-it,hard__accurate__hostile,onset,response_distress,10,5.0,1.8257
google/gemma-2-9b-it,hard__accurate__neutral,measured,response_distress,10,0.2,0.6325
google/gemma-2-9b-it,hard__accurate__neutral,onset,response_distress,10,0.3,0.9487
google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.3,0.483
google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,1.2,1.4757
google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.2,0.6325
google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.3,0.9487
